nDate,nTime,nOpen,nHigh,nLow,nClose,iVolume,iTurover,DIF,DEA,MACD
20150105,150000,26128500,26784400,25835500,26496400,182425568,229763596288,0.0,0.0,0.0
20150106,150000,26162900,26914900,25918300,26294000,173440000,220601810944,-0.3373,-0.1927,-0.2892
20150107,150000,26088800,26688400,25988900,26352300,128317720,178386108416,-0.2931,-0.2361,-0.114
20150108,150000,26478200,26567500,25518200,25581100,118367912,157065773056,-2.3456,-1.0076,-2.676
20150109,150000,25542900,26926100,25403400,25690200,156209504,211005833216,-3.0689,-1.6833,-2.7712
20150112,150000,25657400,25962700,24998700,25438500,119183584,167990427648,-4.2418,-2.4614,-3.5608
20150113,150000,25379800,25676200,25128600,25278300,77079080,113495932928,-5.4481,-3.3231,-4.25
20150114,150000,25392500,25694500,25086600,25342300,84122312,114229280768,-5.9178,-4.0439,-3.7478
20150115,150000,25347700,26334000,25166100,26328900,111923168,161244413952,-2.4424,-3.611,2.3372
20150116,150000,26427400,26853100,26268200,26530300,134951184,182059515904,0.8154,-2.4384,6.5076
20150119,150000,24489300,25125800,23994400,24102000,140163568,161509621760,-6.6578,-3.5398,-6.236
20150120,150000,23811400,24392500,23552600,24037200,137476640,193319714816,-12.2227,-5.7815,-12.8824
20150121,150000,24252600,25537000,24148900,25423200,148800480,206930198528,-10.1702,-6.9054,-6.5296
20150122,150000,25467000,25577000,25040700,25443100,113708776,157023141888,-8.4135,-7.2893,-2.2484
20150123,150000,25569100,26129300,25434600,25645100,124551352,169187278848,-6.0733,-6.9811,1.8156
20150126,150000,25639100,25653600,25280800,25623600,95979472,124417875968,-4.3336,-6.3126,3.958
20150127,150000,25704300,25743300,24738100,25221000,116542880,149446787072,-4.8525,-5.9448,2.1846
20150128,150000,24970500,25345800,24762800,24862800,86356384,115311452160,-6.883,-6.1807,-1.4046
20150129,150000,24444000,24653100,24199900,24420400,81404968,103757275136,-10.4659,-7.2565,-6.4188
20150130,150000,24560500,24712300,24006300,24053800,76591152,97675214848,-14.8359,-9.1574,-11.357
20150202,150000,23372000,23764300,23291500,23325300,84676896,99907076096,-21.5849,-12.2717,-18.6264
20150203,150000,23624100,24130100,23351100,24057600,82274656,108792143872,-22.6832,-14.8792,-15.608
20150204,150000,24127500,24396100,23705700,23724600,77531360,105036316672,-24.9007,-17.3879,-15.0256
20150205,150000,24563800,24565700,23484500,23489200,110713248,140544589824,-27.4524,-19.9066,-15.0916
20150206,150000,23353600,23663300,23031100,23252400,76931112,93700546560,-30.2441,-22.4929,-15.5024
