|   iter    |  target   |    lr     | batchI... | hidden... | num_la... | weight... |
-------------------------------------------------------------------------------------
| 1         | 0.536     | 0.0047531 | 2.1609734 | 0.0003431 | 2.2093302 | -.320e-05 |
| 2         | 0.504     | 0.0018310 | 0.5587806 | 1.0366821 | 2.5870698 | -.849e-05 |
| 3         | 0.392     | 0.0047727 | 2.0556585 | 0.6133567 | 4.5124697 | -.246e-05 |
| 4         | 0.449     | 0.0070342 | 1.2519144 | 1.6760694 | 1.5615477 | -.782e-05 |
| 5         | 0.162     | 0.0082067 | 2.9047847 | 0.9402725 | 3.7692904 | -.887e-05 |
| 6         | 0.537     | 0.0090514 | 0.2551326 | 0.1171643 | 1.6793216 | -.903e-05 |
| 7         | 0.539     | 0.0018851 | 1.2633228 | 2.8736685 | 3.1326611 | -.226e-05 |
| 8         | 0.538     | 0.0038396 | 2.0595027 | 2.5038770 | 1.0731531 | -.751e-05 |
| 9         | 0.538     | 0.0098997 | 2.2444969 | 0.8413319 | 4.1571173 | -.929e-05 |
| 10        | 0.549     | 0.0050310 | 2.7257865 | 0.8808424 | 2.1511013 | -.170e-05 |
| 11        | 0.524     | 0.0014802 | 2.5876936 | 0.6672282 | 1.7882588 | -.778e-05 |
| 12        | 0.528     | 0.0046578 | 1.1261219 | 0.6825994 | 3.8867022 | -.535e-05 |
| 13        | 0.516     | 0.0098941 | 0.1451096 | 2.2354668 | 1.4827766 | -.740e-05 |
| 14        | 0.53      | 0.0040814 | 1.4686085 | 0.5231032 | 2.0007055 | -.532e-05 |
| 15        | 0.528     | 0.0078850 | 1.1091466 | 0.3591477 | 1.4699925 | -.576e-05 |
| 16        | 0.534     | 0.0084445 | 1.8171467 | 0.7175642 | 1.5136810 | -.016e-05 |
| 17        | 0.447     | 0.0074455 | 1.1311940 | 2.1376773 | 2.1819811 | -.010e-05 |
| 18        | 0.446     | 0.0075779 | 1.9994511 | 2.0117783 | 4.8687554 | -.826e-05 |
| 19        | 0.515     | 0.0076421 | 1.1891571 | 1.0924844 | 2.3139337 | -.718e-05 |
| 20        | 0.479     | 0.0025347 | 2.0460141 | 1.9292308 | 4.6748551 | -.411e-05 |
| 21        | 0.162     | 0.0056557 | 1.2358658 | 2.8738859 | 3.1536406 | -.092e-05 |
| 22        | 0.526     | 0.0028252 | 2.0035147 | 1.9287970 | 2.1322681 | -.988e-05 |
| 23        | 0.522     | 0.0028609 | 2.4048470 | 0.7639777 | 1.0229937 | -.002e-05 |
| 24        | 0.528     | 0.0045784 | 2.0192428 | 0.4544559 | 3.9219351 | -.295e-05 |
| 25        | 0.52      | 0.0081803 | 2.7831467 | 2.2911764 | 1.8906343 | -.346e-05 |
| 26        | 0.476     | 0.0028162 | 1.2503972 | 2.6462071 | 4.2730022 | -.393e-05 |
| 27        | 0.533     | 0.0079232 | 1.6657871 | 0.8701051 | 3.2908213 | -.396e-05 |
| 28        | 0.521     | 0.0012387 | 1.2727201 | 1.4681871 | 2.2886459 | -.643e-05 |
| 29        | 0.523     | 0.0026055 | 2.7875444 | 2.2260657 | 3.7239149 | -.885e-05 |
| 30        | 0.446     | 0.0052640 | 1.4725915 | 2.5275497 | 4.4346274 | -.251e-05 |
| 31        | 0.531     | 0.0057978 | 1.2497733 | 0.6528639 | 3.9318787 | -.316e-05 |
| 32        | 0.462     | 0.0070602 | 0.9213056 | 2.5557544 | 2.2247312 | -.350e-05 |
| 33        | 0.528     | 0.0094639 | 1.6664545 | 1.5045452 | 2.2685696 | -.363e-05 |
| 34        | 0.499     | 0.0025776 | 0.3878967 | 0.8467495 | 4.6122153 | -.675e-05 |
| 35        | 0.52      | 0.0041147 | 1.8316405 | 1.6798572 | 1.9985283 | -.301e-05 |
| 36        | 0.501     | 0.0063425 | 1.7652246 | 1.7053923 | 2.0045720 | -.207e-05 |
| 37        | 0.368     | 0.0067779 | 0.1672251 | 0.2775327 | 2.3275103 | -.956e-05 |
| 38        | 0.548     | 0.0032197 | 0.9244857 | 0.0537446 | 2.3053570 | -.824e-05 |
| 39        | 0.492     | 0.0081387 | 1.5425995 | 0.3001697 | 4.7797989 | -.817e-05 |
| 40        | 0.533     | 0.0077788 | 0.9139328 | 2.1238366 | 1.2400424 | -.902e-05 |
| 41        | 0.545     | 0.0050077 | 0.2225983 | 0.7272850 | 1.2039495 | -.523e-05 |
| 42        | 0.551     | 0.0039734 | 1.9658352 | 1.1075599 | 3.2742855 | -.627e-05 |
| 43        | 0.446     | 0.0030945 | 0.1708255 | 2.6604702 | 3.9694392 | -.766e-05 |
| 44        | 0.446     | 0.0057052 | 1.2629219 | 1.5055234 | 4.2685021 | -.950e-05 |
| 45        | 0.539     | 0.0038804 | 0.4847197 | 1.5304986 | 2.0157093 | -.783e-05 |
| 46        | 0.529     | 0.0068126 | 2.7747816 | 2.4521755 | 1.5332668 | -.596e-05 |
| 47        | 0.556     | 0.0050858 | 2.2989988 | 0.1451066 | 1.8113896 | -.679e-05 |
| 48        | 0.446     | 0.0066861 | 0.7685399 | 0.5805362 | 4.7801293 | -.433e-05 |
| 49        | 0.523     | 0.0064234 | 2.8601868 | 1.7699431 | 3.4476604 | -.992e-05 |
| 50        | 0.424     | 0.0062151 | 0.5997662 | 0.6298641 | 3.3364172 | -.755e-05 |
| 51        | 0.162     | 0.0081380 | 1.9973021 | 1.9939513 | 4.8514519 | -.287e-05 |
| 52        | 0.536     | 0.0099431 | 1.6642477 | 1.5246419 | 2.2485211 | -.529e-05 |
| 53        | 0.514     | 0.0093131 | 0.5484599 | 1.7207983 | 1.5298726 | -.007e-05 |
| 54        | 0.547     | 0.0045324 | 0.9717815 | 1.9264950 | 1.2795676 | -.028e-05 |
| 55        | 0.524     | 0.0038217 | 2.2902510 | 0.1476963 | 1.7981832 | -.754e-05 |
| 56        | 0.554     | 0.0046157 | 2.3108597 | 0.1571641 | 1.8047275 | -.600e-05 |
| 57        | 0.537     | 0.0076560 | 2.7498876 | 1.0113095 | 2.6180475 | -.614e-05 |
| 58        | 0.514     | 0.0041171 | 1.9500697 | 1.1093638 | 3.2880413 | -.309e-05 |
| 59        | 0.553     | 0.0072102 | 2.7449896 | 0.8703729 | 2.1534566 | -.786e-05 |
| 60        | 0.533     | 0.0051048 | 2.7365587 | 0.8804266 | 2.1722512 | -.473e-05 |
=====================================================================================
最优参数组合 {'target': np.float64(0.556), 'params': {'lr': np.float64(0.005085876858448043), 'batchIndex': np.float64(2.2989988858751653), 'hiddenDimIndex': np.float64(0.1451066645737985), 'num_layers_index': np.float64(1.8113896144384616), 'weight_decay': np.float64(3.679795712178712e-05)}}



D:\pythonPro\PortfolioStrategy\.venv\Scripts\python.exe D:\pythonPro\PortfolioStrategy\mainByes2.py 
Using device: cuda:1
4 :GPUs are available
|   iter    |  target   |    lr     | batchI... | hidden... | num_la... | weight... |
-------------------------------------------------------------------------------------
| 1         | 0.8627954 | 0.0047531 | 2.1609734 | 0.0003431 | 2.2093302 | -.320e-05 |
| 2         | 0.7841564 | 0.0018310 | 0.5587806 | 1.0366821 | 2.5870698 | -.849e-05 |
| 3         | 0.6332269 | 0.0047727 | 2.0556585 | 0.6133567 | 4.5124697 | -.246e-05 |
| 4         | 0.8410781 | 0.0070342 | 1.2519144 | 1.6760694 | 1.5615477 | -.782e-05 |
| 5         | 0.8098564 | 0.0082067 | 2.9047847 | 0.9402725 | 3.7692904 | -.887e-05 |
| 6         | 0.8076434 | 0.0090514 | 0.2551326 | 0.1171643 | 1.6793216 | -.903e-05 |
| 7         | 0.8493303 | 0.0018851 | 1.2633228 | 2.8736685 | 3.1326611 | -.226e-05 |
| 8         | 0.7615408 | 0.0038396 | 2.0595027 | 2.5038770 | 1.0731531 | -.751e-05 |
| 9         | 0.446     | 0.0098997 | 2.2444969 | 0.8413319 | 4.1571173 | -.929e-05 |
| 10        | 0.8212010 | 0.0050310 | 2.7257865 | 0.8808424 | 2.1511013 | -.170e-05 |
| 11        | 0.7738982 | 0.0014802 | 2.5876936 | 0.6672282 | 1.7882588 | -.778e-05 |
| 12        | 0.8191806 | 0.0046578 | 1.1261219 | 0.6825994 | 3.8867022 | -.535e-05 |
| 13        | 0.5885719 | 0.0098941 | 0.1451096 | 2.2354668 | 1.4827766 | -.740e-05 |
| 14        | 0.8319602 | 0.0069821 | 2.4000248 | 0.3693061 | 2.4161659 | 1e-05     |
| 15        | 0.6775073 | 0.0078850 | 1.1091466 | 0.3591477 | 1.4699925 | -.576e-05 |
