nCode,nName
600028,中国石化
600030,中信证券
600031,三一重工
600036,招商银行
600048,保利发展
600050,中国联通
600150,中国船舶
600276,恒瑞医药
600309,万华化学
600406,国电南瑞
600519,贵州茅台
600690,海尔智家
600760,中航沈飞
600809,山西汾酒
600887,伊利股份
600900,长江电力
600941,中国移动
601012,隆基绿能
601088,中国神华
601127,赛力斯
601166,兴业银行
601211,国泰海通
601225,陕西煤业
601288,农业银行
601318,中国平安
601328,交通银行
601398,工商银行
601600,中国铝业
601601,中国太保
601628,中国人寿
601658,邮储银行
601668,中国建筑
601728,中国电信
601766,中国中车
601816,京沪高铁
601857,中国石油
601888,中国中免
601899,紫金矿业
601919,中远海控
601985,中国核电
601988,中国银行
603259,药明康德
603501,豪威集团
603993,洛阳钼业
688008,澜起科技
688012,XD中微公
688041,海光信息
688111,金山办公
688256,寒武纪-U
688981,中芯国际
